gene_id,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
FUN_004382,18,20,0,18,43,0,14,31,23,42
FUN_004383,673,865,480,652,1119,944,796,1113,1027,1482
FUN_004384,132,187,139,182,333,323,175,348,299,360
FUN_004385,267,300,432,329,771,579,477,696,655,779
FUN_004386,0,0,0,0,0,0,0,0,0,0
FUN_004387,17,23,17,17,36,23,19,20,19,49
FUN_004388,4160,5501,5875,4734,7058,6071,5228,6395,5246,7501
FUN_004389,13,25,17,35,40,44,15,41,24,35
FUN_004390,17,18,0,31,34,37,27,34,29,32
FUN_004391,71,128,90,103,179,151,89,183,118,179
FUN_004392,33066,45692,52475,42225,50172,42247,39026,43557,35746,46414
FUN_004393,108,134,168,150,307,204,188,308,202,313
FUN_004394,629,1050,1010,919,1976,1723,961,1763,1461,2006
FUN_004395,260,313,241,296,481,418,387,399,427,661
FUN_004396,1749,2094,1509,1743,3036,2050,2040,3042,2491,3058
FUN_004397,48,90,73,76,130,69,70,106,56,141
FUN_004398,4544,5695,5731,4580,6532,5300,5120,6360,5528,6793
FUN_004399,40,77,40,37,42,58,41,67,107,71
FUN_004400,108,157,123,95,252,175,145,243,223,280
FUN_004401,63,136,67,218,137,165,74,85,107,141
FUN_004402,422,526,608,447,1155,686,502,1351,736,1170
FUN_004403,2666,3831,1444,2310,5009,3763,3736,4372,4183,6135
FUN_004404,785,935,686,898,2730,2005,1551,2630,1917,2779
FUN_004405,523,587,663,630,1269,1075,695,1220,937,1416
FUN_004406,497,645,437,538,970,733,859,876,892,1112
FUN_004407,380,586,464,539,919,858,483,778,684,1066
FUN_004408,17,36,37,24,75,59,36,44,35,61
FUN_004409,1595,2172,2203,1820,2050,1434,1669,1604,1091,1811
FUN_004410,416,980,776,1110,693,719,898,729,436,754
FUN_004411,0,0,0,0,0,0,0,0,0,0
FUN_004412,20,35,35,30,37,18,21,25,8,38
FUN_004413,466,595,328,348,688,446,456,610,626,744
FUN_004414,1948,2277,2199,1836,3002,1995,2213,2992,2376,3523
FUN_004415,49,107,42,66,74,57,75,85,82,141
FUN_004416,75,113,137,100,128,92,98,111,89,103
FUN_004417,181,269,249,229,546,427,311,595,515,611
FUN_004418,2835,3075,2481,2433,5574,4008,3347,5881,4613,6225
FUN_004419,855,1187,1428,1177,1804,1438,1158,1807,1385,1978
FUN_004420,263,418,472,407,693,527,408,609,602,840
FUN_004421,286,421,461,396,671,587,374,702,556,804
FUN_004422,515,679,590,613,1121,884,705,1113,922,1241
FUN_004423,42,193,101,225,177,113,105,156,99,162
FUN_004424,203,334,198,271,387,278,289,333,262,451
FUN_004425,198,408,237,247,484,384,278,484,404,477
FUN_004426,2114,3301,2290,2536,4426,3236,2746,3571,3035,4190
FUN_004427,232,384,277,286,731,405,331,495,367,616
FUN_004428,767,944,1089,913,1578,1190,974,1523,1201,1734
FUN_004429,142,187,119,149,306,211,214,262,231,353
FUN_004430,430,488,546,392,723,553,419,685,544,718
FUN_004431,36,17,31,26,36,30,22,43,34,56
FUN_004432,1303,1717,1168,1401,1656,1407,1395,1452,1843,1940
FUN_004433,111,228,150,167,423,352,222,449,364,548
FUN_004434,491,713,286,523,936,790,700,872,855,1144
FUN_004435,273,431,229,271,490,451,397,599,520,691
FUN_004436,1968,2490,2960,2770,4521,3383,2671,4272,3647,4826
FUN_004437,326,459,320,406,547,484,418,608,546,757
FUN_004438,518,842,531,580,1032,892,830,913,991,1329
FUN_004439,1,0,3,2,5,0,3,3,3,3
FUN_004440,0,6,0,3,0,0,0,6,1,0
FUN_004441,31,45,12,1265,6,26,11,0,0,0
FUN_004442,524,724,604,692,1318,1091,954,1275,1141,1636
FUN_004443,3631,4450,2438,2909,6206,6542,4802,5418,5893,8281
FUN_004444,5,17,14,6,12,4,4,22,6,16
FUN_004445,472,618,487,486,1021,771,711,1010,935,1214
FUN_004446,3,8,3,3,6,10,6,2,6,4
FUN_004447,0,0,0,0,1,2,1,0,0,0
FUN_004448,12,23,39,36,42,0,14,15,25,44
FUN_004449,79,94,109,118,157,114,100,177,150,211
FUN_004450,15,42,47,25,69,114,35,54,39,67
FUN_004451,0,0,0,0,0,0,0,0,0,0
FUN_004452,0,0,0,0,0,12,0,0,0,0
FUN_004453,0,0,0,0,0,0,0,0,0,0
FUN_004454,0,0,0,0,0,0,0,0,0,0
FUN_004455,0,2,0,6,0,0,0,6,0,0
FUN_004456,0,37,20,17,0,0,0,0,0,0
FUN_004457,533,644,603,582,1369,952,781,1199,958,1310
FUN_004458,735,938,301,725,1035,882,913,911,985,1313
FUN_004459,1058,1809,1573,1605,4520,2364,1374,4925,2287,4608
FUN_004460,281,2123,1015,2161,134,926,720,117,84,113
FUN_004461,77,170,118,122,119,152,110,113,124,178
FUN_004462,506,3791,1996,4037,469,1552,1246,408,334,460
FUN_004463,0,0,0,0,0,0,0,4,4,0
FUN_004464,25,73,39,59,46,48,33,38,41,60
FUN_004465,1,0,0,0,0,0,0,0,0,0
FUN_004466,59,74,84,96,122,149,132,128,117,141
