gene_id,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
FUN_008475,0,7,0,0,60,69,32,92,72,113
FUN_008476,211,438,255,226,577,348,214,632,560,666
FUN_008477,438,410,265,353,1137,743,505,1098,835,1114
FUN_008478,19,46,78,51,9,13,34,11,8,9
FUN_008479,220,221,125,164,350,323,240,331,293,463
FUN_008480,7,26,14,14,14,16,14,11,9,12
FUN_008481,882,1098,1011,754,2424,1789,1343,2570,1804,2462
FUN_008482,220,305,247,273,624,483,313,530,471,669
FUN_008483,877,1018,774,1229,3505,1928,1026,3064,2396,1941
FUN_008485,0,0,15,4,20,20,12,26,0,19
FUN_008486,3,7,9,3,5,8,4,2,10,2
FUN_008487,83,67,68,13,6,9,23,0,0,18
FUN_008488,389,596,488,456,1413,1099,872,1447,1161,1536
FUN_008489,798,1071,583,808,1271,931,986,1102,1103,1409
FUN_008491,927,1861,1266,1335,3432,2725,3060,3220,3334,3735
FUN_008492,1251,2012,2045,1505,2824,2541,2069,2683,2818,2995
FUN_008510,307,399,332,352,622,518,382,370,442,656
FUN_008513,234,244,298,257,653,536,369,699,502,707
FUN_008514,12,7,10,12,10,10,4,13,7,21
FUN_008515,0,8,3,6,23,12,8,44,39,23
FUN_008516,61,104,103,63,195,121,78,206,148,239
FUN_008517,144,159,73,72,254,166,109,374,202,247
FUN_008518,15,9,9,12,42,17,16,46,33,30
FUN_008519,109,180,111,121,208,143,186,185,150,251
FUN_008520,390,632,338,484,821,678,527,809,732,863
FUN_008521,75,110,19,62,149,116,126,148,160,188
FUN_008522,571,919,497,640,1225,1007,918,1161,995,1199
FUN_008523,190,275,93,191,393,314,180,243,227,442
FUN_008524,432,470,407,443,807,671,494,758,636,993
FUN_008525,1016,1178,846,934,2226,1623,1420,1931,1725,2284
FUN_008526,1000,1176,1147,1182,2052,1780,1234,1939,1616,2440
FUN_008527,794,1376,912,961,2367,1742,1869,2152,1700,2410
FUN_008528,34,152,28,93,79,62,54,47,35,80
FUN_008529,226,313,274,187,348,355,341,182,343,354
FUN_008530,472,568,384,435,545,402,467,428,331,574
FUN_008531,380,585,379,407,833,671,485,689,595,947
FUN_008533,92,146,113,116,243,170,139,171,148,262
FUN_008534,196,279,274,257,464,425,244,351,347,507
FUN_008535,12,4,0,5,17,0,10,17,11,15
FUN_008536,0,8,0,5,0,10,0,9,0,16
FUN_008537,87,174,134,134,169,78,155,106,134,119
FUN_008538,313,347,303,271,1042,742,613,1115,949,1341
FUN_008539,240,362,325,301,440,358,357,476,345,445
FUN_008540,222,330,191,304,502,311,332,440,365,536
FUN_008541,51,118,67,53,151,147,58,71,74,158
FUN_008542,297,899,338,201,811,1006,396,1146,1214,1545
FUN_008543,1412,1149,1004,1027,425,734,1661,299,254,570
FUN_008544,15,50,26,33,76,55,29,28,52,87
FUN_008545,171,182,53,50,81,154,39,18,24,35
FUN_008546,205,291,211,195,443,346,248,427,332,515
FUN_008547,60,75,43,56,332,203,56,366,254,326
FUN_008548,8734,14184,11666,11256,14950,11388,10506,11793,11708,14297
FUN_008550,3934,4723,4402,3537,3639,3014,3418,3111,2954,3670
FUN_008551,185,232,221,205,456,322,208,400,297,585
FUN_008552,412,604,506,550,1016,912,566,1079,906,1294
FUN_008553,11,17,18,9,25,20,0,25,7,27
FUN_008554,0,7,2,0,18,12,5,0,0,13
FUN_008555,3,9,1,8,5,10,11,9,5,8
FUN_008556,17,33,21,21,21,28,25,23,36,34
FUN_008558,16,15,7,10,21,22,14,25,17,33
FUN_008559,0,0,0,0,20,10,5,0,12,9
FUN_008561,24,10,4,9,13,0,22,0,0,7
FUN_008562,125,127,133,147,308,244,167,252,249,285
FUN_008563,432,530,522,543,923,707,535,907,751,940
FUN_008564,448,570,475,455,961,721,591,817,787,1109
FUN_008565,83,95,123,92,172,158,102,178,149,236
FUN_008566,371,419,488,385,796,623,485,819,601,935
FUN_008568,81,127,22,57,176,114,88,82,141,195
